Are_Donations_Deductable,City,EIN,Fiscal_Year_End,In_Care_Of,Is_Org_Private,Latest_Report,Org_Name,Ruling_Date,State,Street_Address,Subsection,Total_Assets,Total_Revenues,ZIP
Yes,New York,010686573,12,% WILLIAM SMATHERS,No,201312,OUT OF BOUNDS NYC INC,200307,New York,Po Box 2158,501(c)(3),0.0,0.0,10163
Yes,New York,010698848,12,% WEBER MOSES & CO,No,201312,W & M KENNEDY PRIVATE FAMILY FOUNDATION INC,200210,New York,C/o Weber Moses Co 225 Broadway No,501(c)(3),93463.0,0.0,10007
Yes,New York,010703164,12,% C/O DORIAN RENCE,No,201312,ARTEMIS PROJECT,200211,New York,C/o Dorian Rence 318 W 77th St,501(c)(3),0.0,0.0,10024
Yes,New York,010708733,12,None Shown,Yes,201212,DEMOCRACY NOW PRODUCTIONS INC,200303,New York,207 W 25th St Fl 11,501(c)(3),18386668.0,8681510.0,10001
Yes,New York,010710118,04,% HECTOR G DOWD,No,201404,HERBERT AND DOROTHY KUNSTADT FOUNDATION INC,200211,New York,383 Fifth Ave,501(c)(3),574823.0,0.0,10016
Yes,New York,010715504,12,% C/O NEW WORLD FOUNDATION,No,201312,SEED OF THE HEART FOUNDATION,200303,New York,666 W End Ave Apt 1b,501(c)(3),0.0,0.0,10025
Yes,New York,010718335,12,% PERGAMENT ADVISORS LLC,No,201312,AJP FOUNDATION FOR CHILDREN INC,200310,New York,237 Park Avenue,501(c)(3),18754.0,0.0,10017
Yes,New York,010718949,12,None Shown,No,201212,CIVITELLA RANIERI FOUNDATION INC,200207,New York,28 Hubert St,501(c)(3),26471788.0,0.0,10013
Yes,New York,010719924,12,% ABRAHAM REISS,No,201212,AR & MGR CHARITABLE FOUNDATION INC,200304,New York,276 Riverside Drive,501(c)(3),80721.0,0.0,10025
Yes,New York,010719926,12,% JACOB WEINREB,No,201212,JW & DW CHARITABLE FOUNDATION INC,200305,New York,276 Riverside Drive,501(c)(3),41095.0,0.0,10025
Yes,New York,010727527,12,% LUCY F BIEGANSKI,Yes,201112,WEINREB-BERENDA-CARTER FOUNDATION INC,200209,New York,126 W 73rd St Apt 5c,501(c)(3),2268062.0,64881.0,10023
Yes,New York,010733159,12,% ANDREA M ROSEN,No,201312,FELIX GONZALEZ-TORRES FOUNDATION,200307,New York,525 W 24th St,501(c)(3),738127.0,0.0,10011
Yes,New York,010733312,12,% E WERNER,No,201312,SALT QUEEN FOUNDATION,200208,New York,C/o E Werner 15 Broad St 2112,501(c)(3),7625.0,0.0,10005
Yes,New York,010734181,12,% H MANDEL,No,201212,JAZZ JOURNALISTS ASSOCIATION,200406,New York,C/o H Mandel 151 1st Avenue,501(c)(3),35683.0,40211.0,10003
Yes,New York,010744075,12,% NICHOLAS ECONOMIDES,No,201312,NETWORKS ELECTRONIC COMMERCE AND TELECOMMUNICATIONS NET INSTITUTE,200212,New York,7 Washington Sq N Apt 52a,501(c)(3),266822.0,0.0,10003
Yes,New York,010744113,12,% ASH & PARSONT,No,201312,MCCULLOUGH FOUNDATION,200303,New York,122 E 42nd St,501(c)(3),856466.0,0.0,10168
Yes,New York,010748205,12,% LOEB BLOCK PARTNER,No,201312,FRIENDS OF THALAMUS INC,200306,New York,200 East 61st Street,501(c)(3),0.0,5000.0,10065
Yes,New York,010751074,12,% LEBENTHAL FAMILY OFFICE,No,201312,NANTZ FAMILY FOUNDATION,200212,New York,230 Park A Ste 32 Fl,501(c)(3),40420.0,0.0,10169
Yes,New York,010754036,12,% SPITZ & GREENSTEIN CPAS,No,201312,FLORA BALDINI GIFFUNI FOUNDATION INC,200302,New York,494 8th Ave Ste 806,501(c)(3),135957.0,0.0,10001
Yes,New York,010756152,12,None Shown,No,201312,AMERICANS WE ARE A FAMILY FOUNDATION INC,200310,New York,525 7th Avenue No 808,501(c)(3),13623.0,0.0,10018
Yes,New York,010759380,12,% BEHAN LING AND RUTA CPAS PC,No,201312,SPINAL MUSCULAR ATROPHY FOUNDATION,200305,New York,888 7th Ave Ste 400,501(c)(3),1058832.0,0.0,10106
Yes,New York,010769760,12,% DR OLIVER JOVANOVIC,No,201312,COURT OF LAST RESORT,200311,New York,680 Fort Washington Avenue,501(c)(3),0.0,0.0,10040
Yes,New York,010779377,12,% ROSSE TAVERAS,No,201312,CUBRAITI INC,201210,New York,40 Amsterdam Ave,501(c)(3),0.0,0.0,10023
Yes,New York,010785049,05,% ROBERT LUK,Yes,201305,QUEENS COMMUNITY CENTER INC,200502,New York,2 East Broadway Suite 806,501(c)(3),860642.0,446465.0,10038
Yes,New York,010790110,06,% CAROLYN HACK,Yes,201306,EXCELLENCE ACADEMIES INC,200406,New York,826 Broadway Fl 9,501(c)(3),29784900.0,3975289.0,10003
Yes,New York,010794539,12,% JOHN SCIBILIA,Yes,201212,NEW YORK DISASTER INTERFAITH SERVICES INC,200403,New York,4 W 43rd St,501(c)(3),20273.0,65526.0,10036
Yes,New York,010798319,06,% GLATZER,Yes,201306,TANK LTD,200503,New York,151 West 46th Street,501(c)(3),36400.0,257221.0,10036
Yes,New York,010803455,12,% ENYONAM NANEVIE,No,201212,BUILDING COMMUNITY BRIDGES INC,201002,New York,244 5th Avenue Suite E283,501(c)(3),0.0,0.0,10001
Yes,New York,010803813,06,None Shown,Yes,0,H E L P USA INC,199705,New York,5 Hanover Sq Fl 17,501(c)(3),0.0,0.0,10004
Yes,New York,010825812,09,% MARTIN PLATT,No,201309,PERRY STREET THEATRE COMPANY INC,200612,New York,1650 Broadway Ste 700 # 805,501(c)(3),1.0,0.0,10019
Yes,New York,010835940,12,% PETER S KNIGHT,No,201212,GENERATION FOUNDATION,200606,New York,1 Bryant Park Fl 48,501(c)(3),21344.0,0.0,10036
Yes,New York,010849293,06,% TREASURER,Yes,201206,PS 110M PARENT TEACHERS ASSOCIATION INC,200901,New York,285 Delancey St,501(c)(3),31606.0,61809.0,10002
Yes,New York,010856384,07,None Shown,Yes,201307,SING FOR HOPE INC,200706,New York,548 Broadway Fl 3,501(c)(3),2072655.0,2976927.0,10012
Yes,New York,010856839,12,% MICHAEL J GIFFORD,No,201312,ON BEHALF OF A GRATEFUL NATION INC,200606,New York,223 E 88th St Apt 3a,501(c)(3),38181.0,25288.0,10128
Yes,New York,010857041,12,None Shown,No,201212,DECENDANTS OF HOLOCAUST SURVIVORS,200805,New York,120 E 81st St Apt 10a,501(c)(3),16718.0,29255.0,10028
Yes,New York,010864001,12,% BRENDA GRASSEY,No,201312,BABY BASICS NYC INC,200606,New York,320 W 84th St Apt 5d,501(c)(3),0.0,0.0,10024
No,New York,010875342,06,% MEGHAN JAROW,No,201306,KAPPA DELTA SORORITY,197003,New York,41 Park Row 8th Floor-sdaca,501(c)(7),0.0,0.0,10038
Yes,New York,010880225,11,% CZERINA PATEL/YENZA,No,201211,YENZA INC,200910,New York,Po Box 8683,501(c)(3),0.0,0.0,10116
Yes,New York,010885806,12,None Shown,Yes,201212,PEACE ACTION FUND OF NEW YORK STATE INC,200707,New York,Po Box 3357,501(c)(3),114141.0,98968.0,10008
Yes,New York,010900767,12,% ELYSE SIEGEL,Yes,0,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA,194308,New York,1036 Park Ave 6d,501(c)(3),0.0,0.0,10028
No,New York,010901301,06,% POSTGRADUATE CENTER FOR MENTAL,No,201406,PCMH 2950 GRAND CONCOURSE HOUSING DEVELOPMENT FUND CORPORATION,201408,New York,158 E 35th St,501(c)(4),0.0,0.0,10016
Yes,New York,010903436,12,% ELIZABETH RASHES,Yes,0,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA,194308,New York,180 W End Ave Apt 3h,501(c)(3),0.0,0.0,10023
Yes,New York,010904333,12,% JAMES E SULLIVAN,No,201312,NY MASONIC CHARITABLE MEDIA INC,200803,New York,71 West 23rd Street,501(c)(3),0.0,0.0,10010
Yes,New York,010911036,09,% RANA YATES RSQ,No,201209,CLASSWISH INC,201011,New York,401 7th Avenue,501(c)(3),0.0,0.0,10001
No,New York,010932513,12,% ALAN VINEGRAD COVINGTON & BURL,No,201312,EASTERN DISTRICT ASSOCIATION,200910,New York,620 Eighth Ave 43rd Fl,501(c)(6),16353.0,25740.0,10018
Yes,New York,010934746,06,% DIANA GERSON,No,201306,LOVE SQUARED INC,201001,New York,136 E 39th St,501(c)(3),0.0,0.0,10016
Yes,New York,010939141,12,% SARU JAYARAMAN C0-DIRECTOR,Yes,201212,RESTAURANT OPPORTUNITIES CENTERS ROC UNITED INC,201004,New York,350 Seventh Ave,501(c)(3),1579426.0,3480945.0,10001
Yes,New York,010950295,12,None Shown,No,201212,MONTELLO FOUNDATION INC,201008,New York,195 Chrystie St No3030m,501(c)(3),0.0,0.0,10002
Yes,New York,010950409,12,% MARIA SANTANA,No,201212,LOVE ME DONT HURT ME INC,201209,New York,988 Columbus Ave Apt 2c,501(c)(3),0.0,0.0,10025
Yes,New York,010951136,12,% CARL C LANDEGGER,No,201312,GOD DEMANDS LOVE INC,201011,New York,215 East 72nd Street,501(c)(3),2742.0,0.0,10021
Yes,New York,010960059,12,% EDMOND BRADY,No,201212,LIEUTENANTS BENEVOLENT ASSOCIATION CHARITABLE & SCHOLARSHIP FUND INC,201008,New York,233 Broadway,501(c)(3),58657.0,0.0,10279
Yes,New York,010963657,12,% FRANCA GAUDIO,No,201212,NATIONAL MEDICAL FELLOWSHIPS INC,201007,New York,347 Fifth Ave,501(c)(3),7836022.0,7305017.0,10016
Yes,New York,010973544,12,% JEAN J PIERRE-LOUIS,No,201212,CAPRACARE INC,201101,New York,Po Box 1408,501(c)(3),0.0,0.0,10276
Yes,New York,010974983,12,% HOLY TRINITY LUTHERAN CHURCH,No,201312,MUSIC KITCHEN - FOOD FOR THE SOUL INC,201109,New York,C/o Holy Trinity Lutheran Church-3,501(c)(3),13833.0,11355.0,10023
Yes,New York,013732915,12,% P DEGAETANO,No,201312,JOHN & ANNAMARIA PHILLIPS FOUNDATION,199603,New York,488 Madison Ave Ste 1703,501(c)(3),2620498.0,0.0,10022
Yes,New York,016186903,12,% CUNNINGHAM MERCE TTEE,No,201312,MERCE CUNNINGHAM TRUST,200212,New York,130 W 56th St Rm 708,501(c)(3),11714347.0,0.0,10019
Yes,New York,016253830,12,% BRUCE MILLER & FRED ZILKER,No,201212,NORBERT & HENRY BRATT CHARITABLE TRUST,200703,New York,4309 Broadway,501(c)(3),4146131.0,0.0,10033
No,New York,016274657,08,% NEW YORK UNIVERSITY,Yes,201308,NEW YORK UNIVERSITY VEBA TRUST,201008,New York,105 East 17th Street 4th Fl,Other,48900240.0,11733053.0,10003
Yes,New York,020105200,12,None Shown,No,201212,ACA ASSURANCE,194010,New York,61 Broadway 6th Fl,501(c)(8),492075.0,9870.0,10006
Yes,New York,020255205,03,% COMPASS,No,201403,THE PERLMAN FAMILY FOUNDATION INC,200311,New York,C/o Compass - 655 Madison Ave No Fl,501(c)(3),111.0,0.0,10065
Yes,New York,020468920,12,% LEWIS BRAFF & CO,No,201312,ZENA & MICHAEL A WIENER FOUNDATION,199502,New York,C/o L Braff Co 60 E 42nd St,501(c)(3),1503513.0,0.0,10165
Yes,New York,020501122,06,% DAVID SEGAL,Yes,201106,WATERVILLE VALLEY MUSIC CENTER,199904,New York,74 West 68th Street,501(c)(3),62003.0,76734.0,10023
Yes,New York,020532315,12,% MET COUNCIL,Yes,201312,LEXINGTON HOUSING DEVELOPMENT FUND CORP,200211,New York,120 Broadway Fl 7,501(c)(3),11816208.0,553872.0,10271
Yes,New York,020534583,06,% CAROLYN GEISEL,Yes,201306,MACAULAY HONORS COLLEGE FOUNDATION,200207,New York,35 W 67th St,501(c)(3),27099854.0,1297807.0,10023
Yes,New York,020536768,12,% RICK GUIDOTTI,Yes,201212,POSITIVE EXPOSURE PRODUCTIONS INC,200205,New York,43 East 20th Street 6th Fioor,501(c)(3),40813.0,215819.0,10003
Yes,New York,020536961,12,% CHARLES PRATT & COMPANY,No,201212,SATE FOUNDATION,200204,New York,C/o Cpco 355 Lexington Avenue No,501(c)(3),14739.0,0.0,10017
Yes,New York,020540261,12,% SCOTT LAUER,Yes,201312,OPENHOUSENEWYORK INC,200205,New York,1133 Broadway Ste 802,501(c)(3),135685.0,595953.0,10010
Yes,New York,020542599,12,% WENDER LAW GROUP,Yes,201212,CISV INTERNATIONAL INC,200206,New York,1 Penn Plaza,501(c)(3),56343.0,50000.0,10119
No,New York,020542979,03,% MATTHEW GELISH,Yes,201312,NEW COLISEUM PROPERTIES INC,200305,New York,Po Box 5005,Other,0.0,559577.0,10163
Yes,New York,020548387,12,% BOJAN JANCIC,No,0,CITY LIGHT CHURCH INC,200211,New York,817 Broadway Fl 4 Ste 21,501(c)(3),0.0,0.0,10003
Yes,New York,020551419,12,% KRIEGER & PRAGER,Yes,201212,MLB-POSTBROOK EAST HOUSING CORP,198904,New York,39 Broadway Rm 1440,501(c)(3),4949465.0,5620895.0,10006
Yes,New York,020553128,12,% HENRY J STERN,No,201212,NEW YORK CIVIC INC,200309,New York,470 Park Avenue South No 16fl,501(c)(3),108546.0,46947.0,10016
Yes,New York,020553699,01,% LEVINE AND SELTZER,No,201401,FRAK INC,200205,New York,Levine Seltzer - 150 East 52nd,501(c)(3),3590.0,0.0,10022
No,New York,020555237,07,% UNITED FEDERATION OF TEACHERS,Yes,201307,52 BROADWAY REALTY CORP,200308,New York,52 Broadway,Other,39067833.0,11902111.0,10004
Yes,New York,020557397,12,% STEVEN EVANS,No,201212,HEART SCIENCE RESEARCH FOUNDATION,200206,New York,845 United Nations Plz,501(c)(3),1.0,0.0,10017
Yes,New York,020557576,12,% NEW WATER STREET CORPORATION,Yes,201312,FRIENDS OF THE PLAZA-VVP CORPORATION,200211,New York,55 Water Street,501(c)(3),460269.0,157757.0,10041
Yes,New York,020557850,12,% ANDREW NEMR,No,200912,TAP LEGACY FOUNDATION INC,201405,New York,138 W 25th St Fl 10,501(c)(3),0.0,0.0,10001
Yes,New York,020562020,11,% BLUE RIDGE CAPITAL,No,201211,JOHN & AMY GRIFFIN FOUNDATION INC,200304,New York,660 Madison Ave Fl 20,501(c)(3),4041496.0,0.0,10065
Yes,New York,020565459,06,None Shown,No,201306,NEW YORK STATE SCOA WIDOWERS & CHILDREN FUND,200502,New York,80 Broad Street,501(c)(3),0.0,0.0,10004
Yes,New York,020568114,06,None Shown,Yes,201306,MCCARTON FOUNDATION FOR DEVELOPMENTAL DISABILITIES INC,200206,New York,331 W 25th St,501(c)(3),133649.0,973140.0,10001
Yes,New York,020568159,12,% PATRICIA KRASNAUSKY DIRECTOR,Yes,201212,CABRINI CARE AT HOME,194603,New York,542 E 5th St,501(c)(3),942750.0,3496255.0,10009
Yes,New York,020569535,12,% DANIEL BOOCKVAR,No,201312,MAYER FOUNDATION,200204,New York,300 East 74th St,501(c)(3),240557.0,0.0,10021
Yes,New York,020570405,12,% MR JAAN E VAINO,No,201312,GEGRAPHA INC,200202,New York,510 W 110th St Apt 6a,501(c)(3),0.0,0.0,10025
Yes,New York,020574478,09,% MANUEL QUINTAL,Yes,201209,PHILIPPINE INDEPENDENCE DAY COUNCIL INC,200210,New York,291 Broadway,501(c)(3),20525.0,268345.0,10007
Yes,New York,020575043,06,% ERNEST YESHUA BRENS,No,0,CHRISTIAN MINISTRIES OF NNDNMNTNL CHURCHES JESUS AT HOME INC,200403,New York,524 W 184th St Ste 4-a,501(c)(3),0.0,0.0,10033
Yes,New York,020581476,12,% FINNISH TOURIST BOARD,No,201312,FINLAND CENTER FOUNDATION,200306,New York,47 5th Ave,501(c)(3),33444.0,34506.0,10003
Yes,New York,020585485,12,% MARYE W JIANG,No,201312,AMERICAN HOMELIFE,200407,New York,562 W 162nd St,501(c)(3),0.0,0.0,10032
Yes,New York,020586336,12,% MA TERESITA A CRUZ PHD,Yes,201212,INSTITUTE FOR SPIRITUALITY IN THE WORKPLACE INC,200211,New York,36 W 22nd St Ste 600,501(c)(3),9822.0,157055.0,10010
Yes,New York,020588068,12,% G PITURRO,Yes,201312,PAJAMA PROGRAM INC,200211,New York,114 East 39th Street,501(c)(3),979049.0,4592461.0,10016
Yes,New York,020588806,12,None Shown,No,201212,ANCHOR ARTS INCORPORATED,200209,New York,255 W 43rd St Apt 1211,501(c)(3),0.0,0.0,10036
Yes,New York,020589687,06,% NANCY GODREAU,Yes,201306,ST THOMAS MORE PLAY GROUP INC,200210,New York,65 E 89th St,501(c)(3),1981027.0,3296403.0,10128
Yes,New York,020590437,02,% ABBY RUSSELL,No,201402,HAMPTONS COMEDY FESTIVAL INC,200208,New York,210 E 68th St Apt 5l,501(c)(3),0.0,0.0,10065
Yes,New York,020590588,09,% FUND FOR THE CITY OF NEW YORK INC,Yes,201309,NATIONAL CENTER FOR CIVIC INNOVATION INC,200210,New York,121 Sixth Avenue,501(c)(3),5876721.0,6569489.0,10013
No,New York,020590852,12,% TAXPAYER,No,201312,EDWARD GOREY CHARITABLE TR,200801,New York,C/o Davis Wright Tremaine Llp,501(c)(3),4907690.0,0.0,10019
Yes,New York,020594709,12,None Shown,Yes,201212,A LEG TO STAND ON INC,200212,New York,267 Fifth Ave Ste 301,501(c)(3),253096.0,545708.0,10016
Yes,New York,020595263,12,% COUDERT BROTHERS LLP,No,201312,GOULD FAMILY FOUNDATION,200209,New York,229 Chrystie St Apt 816,501(c)(3),20084703.0,0.0,10002
Yes,New York,020597827,12,% GENE NORMAN,Yes,201212,RALPH LAUREN CENTER FOR CANCER CARE AND PREVENTION,200309,New York,1919 Madison Avenue,501(c)(3),3464835.0,6726205.0,10035
Yes,New York,020601468,06,% PATRICIA DILLON,Yes,201306,HEART OF THE HEALER FOUNDATION,200311,New York,Po Box 1458,501(c)(3),109164.0,103127.0,10113
Yes,New York,020602066,12,% WILLIAM HEALEY,No,201212,CARPENTERS LOCAL UNION 157 SCHOLARSHIP FUND,200304,New York,395 Hudson Street,501(c)(3),304539.0,0.0,10014
Yes,New York,020602245,07,% HARRY HJARDEMAAL,Yes,201307,HAITIAN EDUCATION & LEADERSHIP PROGRAM,200303,New York,64 Fulton St Rm 1102,501(c)(3),558851.0,1335205.0,10038
Yes,New York,020606854,12,% THE SWEDISH-AMERICAN CHAMBER OF C,Yes,201312,SWEDISH-AMERICAN FUND INC,200209,New York,570 Lexington Ave 20th Flr,501(c)(3),392730.0,105307.0,10022
Yes,New York,020615226,12,% MICHAEL WICK,No,0,THREE JEWELS OUTREACH CENTER INC,200307,New York,211 E 5th St,501(c)(3),0.0,0.0,10003
Yes,New York,020620725,06,% SAMI KARAM,No,201406,CHILDREN WELL-BEING NETWORK INC,200301,New York,148 E 24th St Apt 15a,501(c)(3),0.0,0.0,10010
Yes,New York,020623021,12,% BARON LONNER MD,No,201312,SCOLIOSIS RESEARCH AND EDUCATION FOUNDATION,200211,New York,C/o Baron Lonner Md 820 2nd Ave No,501(c)(3),124245.0,0.0,10017
Yes,New York,020623904,12,% MICHAEL HOLMES,No,201112,TOY BOX THEATRE COMPANY INC,200301,New York,Po Box 2994,501(c)(3),0.0,0.0,10009
No,New York,020638053,12,% LATIN AMERICAN VENTURE CAPITAL AS,Yes,201312,LATIN AMERICAN VENTURE CAPITAL ASSOCIATION,200501,New York,589 8th Ave Fl 18,501(c)(6),1011830.0,1760175.0,10018
No,New York,020641817,12,% JOSEPH A RUTA,No,201212,CHRISTIAN LEGAL SOCIETY,199105,New York,1500 Broadway Fl 21,501(c)(3),0.0,0.0,10036
Yes,New York,020643034,06,None Shown,Yes,201406,MANHATTAN CHORAL ENSEMBLE INC,200212,New York,Po Box 3852,501(c)(3),32854.0,56133.0,10163
No,New York,020654795,12,% QUEST PARTNERS LLC,No,201312,NOK FOUNDATION INC,200402,New York,126 East 56th Street 19th Flr,501(c)(3),6290006.0,0.0,10022
Yes,New York,020663360,12,None Shown,No,201312,JANE AND SAM SUTTON FAMILY FOUNDATION,200303,New York,291 Broadway Fl 19,501(c)(3),304727.0,0.0,10007
Yes,New York,020663534,12,None Shown,Yes,201212,CABRINI HOUSING DEVELOPMENT FUND CORPORATION,194603,New York,220 East 19th Street,501(c)(3),13903317.0,688418.0,10003
